epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1048.86,1.67677,2.02134,1.79806,0.442,0.43289,0.3731,0.16041,1.73977,2.14854,2.29885,0.000662698,0.000662698,0.000662698
2,2099.22,1.77149,1.86869,1.86886,0.3081,0.3023,0.21603,0.0629,2.3773,2.84952,2.85318,0.00130304,0.00130304,0.00130304
3,3137.54,1.78786,1.84918,1.87787,0.49687,0.44135,0.41519,0.16622,1.83103,2.00359,2.27732,0.00191699,0.00191699,0.00191699
4,4175.26,1.75438,1.77901,1.8559,0.45173,0.41844,0.37391,0.16185,1.85294,1.97712,2.22711,0.0018812,0.0018812,0.0018812
5,5213.78,1.71072,1.73557,1.82904,0.58777,0.50544,0.5194,0.21932,1.83139,1.8067,2.20574,0.0018416,0.0018416,0.0018416
6,6266.38,1.68764,1.6243,1.80304,0.64062,0.55018,0.57234,0.2496,1.77481,1.82072,2.09517,0.001802,0.001802,0.001802
7,7336.4,1.63183,1.58219,1.78078,0.62468,0.59492,0.58904,0.26598,1.58894,1.43906,1.92177,0.0017624,0.0017624,0.0017624
8,8393.32,1.61749,1.54382,1.75373,0.67399,0.64496,0.69194,0.32065,1.59998,1.30038,1.91583,0.0017228,0.0017228,0.0017228
9,9501.24,1.58892,1.49929,1.7355,0.68557,0.63801,0.69663,0.31837,1.6683,1.33814,1.93346,0.0016832,0.0016832,0.0016832
10,10537.7,1.56802,1.45788,1.71103,0.65729,0.64571,0.66577,0.32196,1.45103,1.47216,1.76251,0.0016436,0.0016436,0.0016436
11,11697.4,1.55,1.39249,1.69253,0.66768,0.69891,0.69781,0.33885,1.51407,1.283,1.82136,0.001604,0.001604,0.001604
12,12868.2,1.55006,1.3776,1.6955,0.68046,0.66264,0.68731,0.35413,1.48985,1.22081,1.83488,0.0015644,0.0015644,0.0015644
13,13876.7,1.53074,1.37467,1.6773,0.72598,0.59267,0.69621,0.37255,1.46117,1.19858,1.74136,0.0015248,0.0015248,0.0015248
14,14894.5,1.49112,1.32906,1.64517,0.70218,0.6578,0.69956,0.33886,1.50378,1.15212,1.80531,0.0014852,0.0014852,0.0014852
15,15902,1.50254,1.30697,1.64819,0.74263,0.6578,0.71235,0.3172,1.54091,1.15789,1.8567,0.0014456,0.0014456,0.0014456
16,16907.8,1.47696,1.27427,1.615,0.68045,0.64628,0.67516,0.34428,1.49937,1.15097,1.80912,0.001406,0.001406,0.001406
17,17936.5,1.46815,1.24782,1.62212,0.74242,0.71447,0.76512,0.38888,1.45984,1.09505,1.76402,0.0013664,0.0013664,0.0013664
18,18967.6,1.46299,1.23215,1.61019,0.75417,0.70484,0.76646,0.38535,1.44789,1.10488,1.7613,0.0013268,0.0013268,0.0013268
19,19981.6,1.42933,1.19523,1.58624,0.74988,0.71053,0.7695,0.40224,1.40978,0.99682,1.68616,0.0012872,0.0012872,0.0012872
20,20984.9,1.42918,1.18845,1.58812,0.77415,0.6711,0.75863,0.39659,1.40332,1.01922,1.70078,0.0012476,0.0012476,0.0012476
21,22008.7,1.41566,1.15752,1.56961,0.75174,0.70667,0.76301,0.40276,1.3857,0.9968,1.66187,0.001208,0.001208,0.001208
22,23020.5,1.39585,1.13169,1.5662,0.76357,0.72189,0.7792,0.40033,1.39505,1.03366,1.67816,0.0011684,0.0011684,0.0011684
23,24025.4,1.38721,1.11432,1.55614,0.74956,0.69849,0.76134,0.4109,1.38248,0.99323,1.68934,0.0011288,0.0011288,0.0011288
24,25024.3,1.38297,1.11238,1.55086,0.74291,0.75822,0.78611,0.40464,1.3899,1.00816,1.69071,0.0010892,0.0010892,0.0010892
25,26022.5,1.38596,1.10631,1.54859,0.77558,0.69528,0.76767,0.39626,1.44782,1.00476,1.70102,0.0010496,0.0010496,0.0010496
26,27018.8,1.3637,1.0729,1.53868,0.75669,0.73706,0.77783,0.39564,1.45005,1.09241,1.71608,0.00101,0.00101,0.00101
27,28042.7,1.3562,1.04978,1.52328,0.77618,0.73277,0.80009,0.42695,1.34926,0.95259,1.61895,0.0009704,0.0009704,0.0009704
28,29062.1,1.35655,1.04943,1.52336,0.77121,0.74244,0.79608,0.42374,1.36435,0.92424,1.64185,0.0009308,0.0009308,0.0009308
29,30079.4,1.34611,1.03528,1.51262,0.73902,0.74849,0.77244,0.40316,1.43151,0.9605,1.72398,0.0008912,0.0008912,0.0008912
30,31096.1,1.31704,1.01458,1.50461,0.7948,0.71342,0.79958,0.43401,1.36485,0.89582,1.63081,0.0008516,0.0008516,0.0008516
31,32116,1.31847,1.03238,1.50065,0.71882,0.77591,0.7894,0.42635,1.35874,0.89919,1.61539,0.000812,0.000812,0.000812
32,33138.7,1.28509,0.9798,1.47885,0.75736,0.72793,0.76973,0.41767,1.35851,0.93257,1.62056,0.0007724,0.0007724,0.0007724
33,34164.4,1.29542,0.97122,1.48045,0.75014,0.75873,0.79562,0.42937,1.34286,0.92136,1.62082,0.0007328,0.0007328,0.0007328
34,35189.1,1.27711,0.96675,1.47653,0.80874,0.70496,0.79102,0.43151,1.32747,0.91923,1.62893,0.0006932,0.0006932,0.0006932
35,36220.9,1.27062,0.95618,1.45321,0.78941,0.74123,0.80345,0.43737,1.34897,0.88959,1.63733,0.0006536,0.0006536,0.0006536
36,37244.5,1.26332,0.94952,1.46621,0.80855,0.73277,0.80423,0.4375,1.326,0.8964,1.60464,0.000614,0.000614,0.000614
37,38280,1.25752,0.92787,1.44776,0.79188,0.74728,0.81157,0.44237,1.34362,0.86268,1.61841,0.0005744,0.0005744,0.0005744
38,39313.6,1.24426,0.91553,1.44017,0.76653,0.78211,0.80956,0.43556,1.34632,0.87393,1.61754,0.0005348,0.0005348,0.0005348
39,40347.9,1.23165,0.89728,1.43594,0.80123,0.74002,0.80761,0.43905,1.35422,0.90269,1.63925,0.0004952,0.0004952,0.0004952
40,41385.8,1.22282,0.89018,1.42604,0.79672,0.77247,0.81956,0.4415,1.32496,0.84473,1.61288,0.0004556,0.0004556,0.0004556
41,42525.6,1.22767,0.78219,1.46229,0.81548,0.75351,0.80262,0.43302,1.33158,0.86678,1.60997,0.000416,0.000416,0.000416
42,43810,1.19486,0.74009,1.43378,0.80591,0.77025,0.81136,0.44124,1.33864,0.84608,1.62697,0.0003764,0.0003764,0.0003764
43,44877.4,1.16731,0.72503,1.41415,0.80084,0.74244,0.80604,0.43999,1.34157,0.85577,1.63528,0.0003368,0.0003368,0.0003368
44,45911.8,1.16184,0.71407,1.40585,0.78492,0.77267,0.80847,0.44482,1.31653,0.83864,1.60705,0.0002972,0.0002972,0.0002972
45,46937,1.13266,0.68563,1.38451,0.83439,0.73109,0.81991,0.44707,1.32974,0.83047,1.62563,0.0002576,0.0002576,0.0002576
46,48004.2,1.13796,0.69361,1.38537,0.81299,0.76749,0.82782,0.45241,1.29188,0.80363,1.59898,0.000218,0.000218,0.000218
47,49450.7,1.11151,0.67278,1.36491,0.81981,0.77267,0.82664,0.45445,1.28883,0.80982,1.6001,0.0001784,0.0001784,0.0001784
48,50651.9,1.0927,0.65176,1.3628,0.80891,0.76266,0.82312,0.44901,1.29791,0.82724,1.6037,0.0001388,0.0001388,0.0001388
49,51696.3,1.09696,0.6486,1.358,0.7722,0.78839,0.81882,0.44959,1.2997,0.81031,1.61036,9.92e-05,9.92e-05,9.92e-05
50,52721.9,1.07854,0.64986,1.34748,0.81901,0.74963,0.82022,0.44795,1.3001,0.81384,1.60518,5.96e-05,5.96e-05,5.96e-05
